# Vital wire-name registry recovered from GameClient.local.bin strings (2026-08-17 R38)
# hash = sum((i+1)*ord(c) for i,c in enumerate(name)) & 0xFFFF  (v141 protocol_name_id)
# Non-AV names only (AV* twins are client event-handler/wrapper classes, not wire names).
# id	name
0x0AEA	Winemaking_UpdateLearnedFormulaVital
0x0D27	BuildingCrystal_PurchaseServiceVital
0x0E0C	Express_ClientReceiveNewExpressVital
0x0ED3	BuildingCrystal_OpenCrystalSlotVital
0x0F01	UserSetting_UpdateServerSettingVital
0x1091	Express_ClientSendExpressResultVital
0x116C	VitalData
0x11E4	KnowledgeGuru_CurrentQuizResultVital
0x15E0	CBuffVital
0x162E	CheatVital
0x1666	Community_SetReceiveActiveChangeVital
0x18DA	Channel_OnActorJoinCustomChannelVital
0x1922	Community_QuerySoulMateCandidateVital
0x1A3F	CArenaVital
0x1AC5	AccuseVital
0x1AD4	ReliveVital
0x1ADD	TargetVital
0x1AEA	ActionVital
0x1B3C	Community_WriteBlankPenpalLetterVital
0x1B40	LogoutVital
0x1B8B	CollectionObj_SailorLvUpResponseVital
0x1C37	BuildingCrystal_IncreaseCrystalSlotMaxNutrientVital
0x1D0C	BuildingCrystal_AddCrystalLusterVital
0x1EB4	COnLandVital
0x1F14	Express_GetActorExpressDataFromDBVital
0x1F4F	UseItemVital
0x1FB2	TriggerVital
0x1FCD	CPotionVital
0x22B0	VitalDataBase
0x23B5	TradeCmdVital
0x245B	ItemLockVital
0x245D	CVehicleVital
0x2466	PartyCmdVital
0x246F	RunFxSetVital
0x24C8	InstanceVital
0x254E	CollectionObj_UpdateCollectEffectVital
0x25A2	TeleportVital
0x25F5	VitalProtocol
0x265C	Channel_OriginalSinChannelMessageVital
0x26B1	Equipment_AddTradeTimeLimitNumberVital
0x26D5	Community_ChangeActorPersonalDataVital
0x2770	Channel_OnActorLeaveCustomChannelVital
0x278C	Express_GSConfirmActorExpressDataVital
0x2797	GSCN_VitalData
0x2974	CPVPStateVital
0x29DC	CFightMsgVital
0x29E4	DyeingVitalReq
0x2A00	DyeingVitalRes
0x2A39	Equipment_RunLuckyEnhancementItemVital
0x2A3E	StallOpenVital
0x2A7A	TradeZoomVital
0x2A90	TargetPosVital
0x2AB1	AppraisalVital
0x2C5D	Express_ClientGetExpressItemAttrsVital
0x2D5C	BuildingCrystal_UpdateCrystalSlotVital
0x2DEF	CWebGMVital_GSGC
0x2F5B	StorageCmdVital
0x2F74	CHitParadeVital
0x2F92	CTracePathVital
0x300B	ActionPickVital
0x3058	ActionItemVital
0x309A	UpdateAttrVital
0x309E	CBoardcastVital
0x30FE	StallStartVital
0x310B	Community_InitalizeActorCommunityVital
0x310C	MiscNotifyVital
0x3123	CKnockdownVital
0x369A	StorageOpenVital
0x36AA	CLearnSkillVital
0x36CF	CreateActorVital
0x36D2	ShowMessageVital
0x36DB	DeleteActorVital
0x36EF	SelectActorVital
0x3700	TradeInviteVital
0x3718	TriggerSyncVital
0x372F	PartyUpdateVital
0x3784	LoginVerifyVital
0x379A	Equipment_AddEnhanceMaxLevelResultVital
0x37B1	PartyInviteVital
0x3A59	Equipment_RecoverBladeSoulWakenessVital
0x3B06	CollectionObj_SailorLevelUpRequestVital
0x3C4D	Community_CommunityCommandNotAllowVital
0x3D4B	GetWorldInfoVital
0x3DD6	ReliveMarkerVital
0x3DE4	StallOperateVital
0x3E0F	CShotMissileVital
0x3E10	EquipFashionVital
0x3E1C	DyeingRemoveVital
0x3E29	CSearchPartyVital
0x3E34	QuestOperateVital
0x3E44	Equipment_EnhancemenTransferResultVital
0x3E48	GetNewsflashVital
0x3E50	Community_CommunityPropertyChangedVital
0x3E56	CArenaResultVital
0x3E60	ActorInspectVital
0x3EAF	MusicControlVital
0x4115	Pets_SetPetAIVital
0x42BF	LSCN_LoginVitalReq
0x42E3	LSCN_LoginVitalRes
0x4302	CTextFileDataVital
0x4323	StartGameFailVital
0x4373	CHitParadeReqVital
0x4391	CTracePathReqVital
0x43FC	PandoraBoxVitalReq
0x4407	FashionChangeVital
0x441A	DyeingShipVitalReq
0x4420	PandoraBoxVitalRes
0x4477	TeleportCheckVital
0x45CF	AppraisalStopVital
0x45F0	CRevertSkilltVital
0x461C	StorageResultVital
0x462C	GCGSSS_GuildStorageVital_ReArrangeResult
0x469D	ItemSynthesisVital
0x4742	Community_SSRequestPenpalLetterDataVital
0x4942	BuildingCrystal_SpeedUpBuildCrystalVital
0x4966	Gathering_UpdateSceneGatheringPointVital
0x49A9	CArenaGameDataVital
